API명,필드수
국토지리정보원 코드정보서비스,4
국토지리정보원 검색서비스,487
지역별 한국 방언 서비스,29
외래어 표기법 서비스,26
로마자 표기법 서비스,20
순화어 서비스,22
한국 문화 기초 용어 서비스,18
학술지통계정보조회 서비스,27
학술지정보제공기관조회서비스,13
예술지식 영상정보 서비스,14
예술지식 문학정보 서비스,14
예술지식 축제문화정보 서비스,14
환경표지구매실적등록 서비스,18
업체정보조회 서비스,23
자가진단 소재지정보,0
환경영향평가 결정내용정보 서비스,0
환경영향평가 협의 현황정보 서비스,0
전국 병?의원 찾기 서비스,126
예술지식 미술정보 서비스,14
예술지식 건축정보 서비스,16
택배신청 저장 서비스,161
노인사회활동(노인일자리) 수행기관 정보,30
분석리포트메타정보,28
연구결과보고서메타정보,28
ICT통계간행물메타정보,27
ICT정기간행물메타정보,194
ICT산업통계서비스,156
R&D통계서비스,33
지하철정보서비스,0
국내항공운항정보 서비스,18
국내선박운항정보 서비스,16
도착정보조회서비스,23
버스노선정보조회서비스,31
버스정류소정보조회서비스,17
국가별 안전정보,26
농산물이력관리정보조회서비스,16
지상정보조회서비스,182
전국어린이놀이시설정보서비스,0
전국어린이놀이시설관리자정보서비스,0
전국어린이놀이시설안전검사정보서비스,0
전국어린이놀이시설행정처분정보서비스,0
전국우수어린이놀이시설정보서비스,0
전국어린이놀이기구통계정보서비스,0
전국어린이놀이시설안전관리사업통계정보서,0
성남시 재가장기요양기관 현황,0
현지 연락처,37
전국어린이놀이시설안전교육통계정보서비스,0
전국어린이놀이시설보험가입통계정보서비스,1
성남시 학교 체육시설 현황,12
ICT동향정보 메타정보,36
분실물정보 조회 서비스,0
환경영향평가 정보 서비스,0
나라장터 사전규격정보서비스,411
나라장터 입찰공고정보서비스,1251
나라장터 계약정보서비스,762
SW산업통계서비스,176
승강기 정보 및 검사이력 서비스,0
유지관리업체 정보 조회 서비스,0
축산물등급판정확인서 발급정보 서비스,0
축산물등급판정정보서비스,224
여행경보제도,51
국가별 기본정보,0
대륙 구분코드,10
농산물이력관리정보연계서비스,29
물건정보조회서비스,0
서귀포시 개별주택공시가격,0
서귀포시 문화예술행사정보,0
서귀포 예술의전당 예매정보,46
문화예술 문화공간 안내,6
도로파손신고서비스,0
이용기관공매물건조회서비스,0
캠코공매물건조회서비스,10
가로수파손신고서비스,0
기당미술관 전시안내,0
환경오염행위신고서비스,0
학교주변청소년유해업소신고서비스,0
대전광역시 문화관광(모범음식점),6
만족도평가서비스,0
대전광역시 문화관광(쇼핑),0
대전광역시 당직의료기관,3
KOSIS 통계목록 서비스,0
KOSIS 통계설명 서비스,0
KOSIS 통계자료 서비스,0
KOSIS 통계표설명 서비스,0
서귀포시 보건소 새소식(공지사항),8
공공시설물신설요청서비스,0
에너지과소비신고서비스,0
"가로등, 신호등 고장신고 서비스",0
서귀포자연휴양림 예약현황,7
서귀포시 개별공시지가정보,30
대전광역시 문화관광(관광지),28
자전거불편신고서비스,0
불법주차신고서비스,0
장애인구역 불법주차 신고서비스,0
성남시 의료기관 상세정보,11
운전중담배꽁초투기신고서비스,0
도로명판/건물번호판훼손신고서비스,0
민원조회서비스,0
쓰레기방치투기신고서비스,0
불법정차신고서비스,0
정부재산정보공개조회서비스,0
서귀포시 시정뉴스,12
온비드코드조회서비스,0
기타생활불편신고서비스,0
붉은오름 자연휴양림 예약현황,6
서귀포시 알림마당,12
서귀포시 평생학습관 교육강좌목록,10
서귀포시 행정자료실 도서목록,5
이중섭미술관 이중섭작품,7
소방서위치조회서비스,0
해외이주서비스,4
친환경인증정보,18
골프장 농약사용 정보,24
국가 대기오염물질 정보,20
화학물질 배출 ? 이동량 정보,21
법령정보 서비스,1
정도관리검증기관정보,17
화학물질 정보,64
우수기술사업화알림정보,30
보육업체소개,38
RDA특허정보,63
사업품종소개,38
농식품산업동향,34
신착특허정보검색,39
중부발전 대기오염물질배출 조회서비스,13
부두정보,12
연료도입실적조회 서비스,12
적하목록사전신고컨테이너무게정보조회,17
터미널 양적하 계획정보,14
역별시각표,19
연료소비실적 조회서비스,15
발전실적조회 서비스,14
예선 모니터링 서비스,13
컨테이너 상태정보,30
터미널 코드,8
발전소 주변농도 조회 서비스,9
연료정보지 다운로드 서비스,6
연료소비실적조회 서비스,15
주간연료정보지 다운로드 서비스,9
터미널 선사코드,5
통합화물 신고정보(하선신고),56
국외항구코드,9
도선 모니터링 서비스,14
미반출 컨테이너 목록,17
선박 관제정보,17
선박제원정보,35
연료도입실적 조회 서비스,8
발전실적조회 서비스,13
나노물질 정보,24
환경측정분석전문기관 인증정보,15
역간 소요시간/거리/요금,9
터미널모선코드,0
자동차 배출가스·소음정보,24
부산항 RFID 차량 출입자료,21
선박 입출항 정보,47
국민행동요령,16
터미널 컨테이너 장치정보,19
국민행동요령(기상이변),16
토양측정망 정보,41
지하수수질측정망 정보,42
유독물 GHS 정보,20
[NRF]기초학문자료센터-연구성과물검색서비스,40
