파일명,필드수
11+(201503)+지역별+판매실적,21
11+(201608)보금자리론+지역별+판매실적,21
11+문화재현황,5
11-2.사학연금_국내대체투자자산+위탁운용사+내역(2015년말),4
11-5.사학연금_해외대체투자자산+Top5+투자자산+현황(2015),3
11.(보금자리론)_지역별_판매실적,21
"11.+2013년+발전원별,+발전기별+발전량+통계",14
11.+FTA+발효국과의+교역비중(2014),5
11.+소년수형자형명형기별인원,14
11.+역간+거리+및+소요시간,4
11.+터미널+공공와이파이+구축현황(2014.+4월+현재),7
11.+토지거래허가,5
11.소년수형자죄명별인원,10
11_한국도로공사_노선별+교통량+통계_2010년~2014년(20151101집계기준-수정),7
11월+주요+3개+환율이력,4
12+(201503)+금융기관별+판매실적,24
12+(201608)보금자리론+금융기관별+판매실적,23
12+보금자리론+금융기관별+판매실적,24
12+보육시설현황,7
12.(보금자리론)_금융기관별_판매실적,24
12.+지가변동률,4
12.소년수형자형명형기별인원,11
121.도서관+현황+및+이용안내,8
122._도정중점_추진사업_2순위_2008,9
123.도서관+자료+현황,6
124.도서관+주요행사+일정,5
125._관광객_유치_1순위_2008,7
126._관광객_유치_2순위_2008,7
12_한국도로공사_고속도로+노선+시종점+현황(2015년11월기준),6
12년_RPS태양광_운영현황,8
12월+신착자료목록(면목도서관_변환),9
12월+신착자료목록(중랑숲_변환),8
13+(201503)+LTV+수준별+대출금액+및+잔액+현황,11
13+미용실현황,5
13+보금자리론+LTV+수준별+대출금액+및+잔액+현황,18
13-1.+국가부담금+현황_2015년,4
13-3.미용업현황(2015.7월),4
13.(보금자리론)_LTV_수준별_대출금액_및_잔액_현황,11
13.+역별+주소+및+전화번호,5
13.+토지거래현황,3
13.여성수형자죄명별인원,10
13.인천광역시+전체+공영주차장+현황,39
131231+수성구+노래연습장+현황,3
135.2014년+민방위+교육+일정,7
137.민방공대피훈련+일정+등+안내,3
13_경남지역본부,4
13_한국도로공사_연평균+일교통량_2014년(20151101집계기준),10
14+(201503)+DTI+수준별+대출금액+및+잔액+현황,9
14+(201607)보금자리론+DTI+수준별+대출금액+및+잔액+현황,14
14+보금자리론+DTI+수준별+대출금액+및+잔액+현황,14
14+의료기관+및+약국+현황,4
14-0310.+제주첨단과학기술단지+3월+업종별+입주+현황,6
14-0310.+제주첨단과학기술단지+3월+용지별+분양+현황,5
14-0310.+제주첨단과학기술단지+3월+입주기업+현황,12
14-0429.+제주첨단과학기술단지+4월+업종별+입주+현황,6
14-0429.+제주첨단과학기술단지+4월+용지별+분양+현황,5
14-0429.+제주첨단과학기술단지+4월+입주기업+현황,11
14-0531.+제주첨단과학기술단지+5월+업종별+입주+현황,6
14-0531.+제주첨단과학기술단지+5월+용지별+분양+현황,5
14-0531.+제주첨단과학기술단지+5월+입주기업+현황,11
14-0630.+제주첨단과학기술단지+6월+업종별+입주+현황,6
14-0630.+제주첨단과학기술단지+6월+용지별+분양+현황,5
14-0630.+제주첨단과학기술단지+6월+입주기업+현황,11
14-1.등록외국인현황(2014),25
14.(보금자리론)_DTI_수준별_대출금액_및_잔액_현황,9
14.+외국인국적별+수용자인원,12
14.+용도지역,6
14.02월_먹는물공동시설_수질검사_결과,19
14.여성수형자형명형기별인원,10
140320+수성구+식품접객업소+현황,4
140321+수성구+사립작은도서관+현황,3
140321+수성구+인쇄업현황,3
140506+대구+수성구+뷰티업종(미용실+등)+현황,4
141.비상급수시설+현황,10
141111+2013년+국립부곡병원+약물중독자+치료보호실적,8
141111+2013년+국립부곡병원+진료통계,4
141219_국립공원_기후변화측정망_현황,9
141219_국립공원_유무인도서_현황,8
141226+2012년+국립부곡병원+약물중독자+치료보호실적,7
141226+2012년+국립부곡병원+진료통계,4
146.수난구조장비+현황,9
147.특정관리대상시설안전점검결과,12
149.지진대피시설+지정+현황,6
14_제주지역본부,4
14_한국도로공사_연도별+노선별+교통량집계_2002년~2014년(20151101집계기준-수정),15
14년+1분기+경비지도사선임현황,4
14년+2분기+생명보험사+경영위험분석,4
14년+2분기+손해보험회사+경영위험분석,4
14년_RPS태양광_운영현황,8
14년말+기초수급자+및+차상위계층+통계,10
15+(201503)+대출기간별+대출금액+및+잔액+현황,6
15-0131.+제주첨단과학기술단지+'15년+1월+업종별+입주+현황+정보,6
15-0131.+제주첨단과학기술단지+'15년+1월+용지별+분양+현황+정보,5
15-0131.+제주첨단과학기술단지+'15년+1월+입주기업+현황+정보,10
15-0228.+제주첨단과학기술단지+'15년+2월+업종별+입주+현황+정보,6
15-0228.제주첨단과학기술단지+15년+2월+입주기업+현황+정보,10
15-0331.+제주첨단과학기술단지+'15년+3월+업종별+입주+현황+정보,6
