필드명	행정표준용어	매칭결과
	서장	
	서적	
	서지	
	서쪽	
	서킷브레이커	
	서행	
	서훈	
	석괴	
	석궁	
	석명권	
	석방	
	석사	
	석유	
	석유광산시설	
	석유대체연료	
	석유대체연료대리점	
	석유대체연료주유소	
	석유대체연료판매소	
	석유대체연료판매업	
	석유대체연료판매업자	
	석유수출입업	
	석유수출입업자	
	석유정제업	
	석유정제업자	
	석유제품	
	석유판매업	
	석유판매업자	
	석재	
	석차	
	석탄	
	석탄가공업	
	석탄가공업자	
	석탄가공제품	
	석탄광업	
	석탄광업자	
	석탄산업	
	선	
	선거	
	선거구	
	선거비용	
	선거인	
	선거인명부조회단말기	
	선거일	
	선고	
	선고유예	
	선광	
	선교루	
	선금	
	선급	
	선급금	
	선급법인	
	선납	
	선단	
	선대	
	선도	
	선도기술개발사업	
	선동	
	선량	
	선량한도	
	선령	
	선로	
	선로설비	
	선로전환기	
	선로증폭기	
	선매	
	선무	
	선물	
	선물	
	선물거래	
	선물스프레드	
	선물시장	
	선물업	
	선물업자	
	선물옵션	
	선물환	
	선미등	
	선미루	
	선박	
	선박공유자	
	선박관리업	
	선박관리인	
	선박국적증서	
	선박급유업	
	선박길이	
	선박너비	
	선박대여업	
	선박등기	
	선박번호	
	선박법	
	선박보험	
	선박소유자	
	선박수리업	
	선박우선특권	
	선박운용회사	
	선박운항회사	
	선박원부	
	선박자동식별시스템	
	선박저당권	
	선박전환승인	
	선박주	
	선박직원	
	선박충돌	
	선박투자회사	
	선발	
	선별	
	선별검사	
	선복용선계약	
	선불	
	선불카드	
	선불할인	
	선상검사	
	선상수출신고	
	선석	
	선수	
	선수금	
	선수루	
	선양	
	선언	
	선용품	
	선용품관리시스템	
	선원	
	선원근로계약	
	선원법	
	선원보험	
	선원수첩	
	선원신분증명서	
	선의의소지인	
	선임	
	선입선출법	
	선장	
	선적	
	선적계약	
	선적서류상환불	
	선적요구서	
	선적요청서	
	선적일	
	선적일자	
	선적지시서	
	선적항	
	선전	
	선정	
	선정자	
	선주	
	선주상호보험조합	
	선지급	
	선진	
	선진국	
	선착	
	선착장	
	선착화물	
	선창	
	선천성이상아	
	선출	
	선출원	
	선충	
	선취	
	선측인도가격	
	선택	
	선택관세	
	선택채권	
	선택채무	
	선편소포우편물	
	선포	
	선하증권	
	선행	
	선형	
	선호	
	설계	
	설계감리	
	설계결함	
	설계기준	
	설계속도	
	설계자	
	설립	
	설립등기	
	설명	
	설명서	
	설문	
	설문조사	
	설문지	
	설비	
	설사약	
	설정	
	설정	
	설정	
	설치	
	설치자	
	설치장소	
	설치지역	
	설해	
	섬광등	
	섬멸	
	섬유	
	섭외	
	섭취	
	성	
	성	
	성격	
	성공	
	성과	
	성과감사	
	성과평가	
	성금	
	성년례	
	성능	
	성동	
	성립	
	성매매	
	성매매알선행위	
	성매매피해자	
	성명	
	성묘객	
	성문표준	
	성별	
	성병	
	성분	
	성수기	
	성숙	
	성숙도	
	성실	
	성인	
	성장	
	성장관리지역	
	성적	
	성질	
	성충	
	성취	
	성취도	
	성폭력	
	성폭력범죄	
	성향	
	성희롱	
	세	
	세계	
	세계경제	
	세계관세기구	
	세계무역기구	
	세계보건기구	
	세계은행	
	세계적	
	세계표준시	
	세관	
	세관감시망	
	세관검사	
	세관검사장	
	세관검사통로	
	세관공보	
	세관관리자	
	세관구내장치장	
	세관기재란	
	세관담당자	
	세관마약탐지견	
	세관반송대	
	세관봉인	
	세관설비사용료	
	세관송장	
	세관운영과	
	세관운영과장	
	세관장	
	세관출국신고대	
	세관통로	
	세관특별감시반원	
	세관특파공무원사무실	
	세관화물정보시스템	
	세굴	
	세균	
	세균성	
	세그먼트	
	세금	
	세금계산서	
	세금사후납부	
	세금현장납부	
	세대	
	세대	
	세대원이력	
	세대원정보	
	세대주	
	세라믹	
	세력	
	세로	
	세로길이	
	세면기	
	세목	
	세목정보	
	세무	
	세무공무원	
	세무사	
	세무서	
	세미나	
	세미트레일러	
	세번	
	세법	
	세부	
	세분류	
	세세목	
	세세항	
	세션	
	세수	
	세액	
	세액공제	
	세액보정	
	세외수입	
	세원	
	세율	
	세율불균형물품	
	세입	
	세입결산	
	세입관	
	세입금	
	세입목	
	세입세출외현금	
	세입예산	
	세입장	
	세입항	
	세적	
	세전	
	세정	
	세정제	
	세제	
	세차장	
	세척	
	세척제	
	세출	
	세출결산	
	세출관	
	세출그룹	
	세출목	
	세출세목	
	세출세세항	
	세출세항	
	세출예산	
	세출장	
	세출항	
	세칙	
	세탁	
	세탁물	
	세탁업	
	세포	
	세포주	
	세항	
	세후	
	섹터	
	센서	
	센터	
	셀	
	셀프서비스	
	셋	
	셋톱박스	
	소	
	소각	
	소감	
	소개	
	소견	
	소계	
	소관	
	소구	
	소권	
	소그룹	
	소금	
	소급	
	소급과세	
	소기능	
	소기업	
	소나무	
	소나무류	
	소녀	
	소대	
	소독	
	소득	
	소득공제	
	소득세	
	소득세법	
	소득세할	
	소득작물	
	소득할	
	소량	
	소로	
	소리	
	소매	
	소매업자	
	소매인	
	소매점	
	소멸	
	소멸시효	
	소명	
	소모	
	소모품	
	소방	
	소방기관	
	소방기술자	
	소방대	
	소방대상물	
	소방대장	
	소방본부장	
	소방서	
	소방선	
	소방수	
	소방시설	
	소방시설업	
	소방시설업자	
	소방업무	
	소방용기계기구	
	소방장비	
	소변	
	소변기	
	소분류	
	소비	
	소비대차	
	소비량	
	소비설비	
	소비세	
	소비임치	
	소비자	
	소비자단체	
	소비자보호법	
	소비자생활협동조합	
	소상공인	
	소상인	
	소생태계	
	소선거구	
	소속	
	소속공무원	
	소속공인중개사	
	소속기관	
	소손	
	소손해면책	
	소송	
	소송고지	
	소송담당공무원	
	소송대리	
	소송대리권	
	소송대리인	
	소송비용	
	소송승계	
	소송지휘권	
	소송청구	
	소송판결	
	소송행위	
	소수	
	소수	
	소수점	
	소수주주권	
	소스	
	소실	
	소싸움	
	소싸움경기	
	소아	
	소액	
	소액결재	
	소액결제	
	소액면세	
	소액물품	
	소액심판제도	
	소액주주	
	소액채권	
	소요	
	소요량	
	소요량계산서	
	소요량산정방법신고	
	소요량심사자	
	소요량증명서	
	소유	
	소유권	
	소유권보존등기	
	소유물반환청구권	
	소유자	
	소유주	
	소유지	
	소유형	
	소음	
	소음발생건설기계	
	소음작업	
	소음진동방지시설	
	소음진동배출시설	
	소인	
	소자	
	소장	
	소장품	
	소재	
	소재불명자	
	소재지	
	소지	
	소지자	
	소진	
	소집	
	소청	
	소추	
	소켓	
	소통	
	소파	
	소포	
	소포우편	
	소포우편물	
	소포우편물수취증	
	소포운임	
	소프트웨어	
	소프트웨어사업	
	소프트웨어사업자	
	소프트웨어산업	
	소프트웨어진흥단지	
	소프트웨어진흥시설	
	소하천	
	소하천구역	
	소하천부속물	
	소하천정비	
	소형	
	소형기선저인망어선	
	소형선박	
	소형저장탱크	
	소형주	
	소홀	
	소화	
	소화기	
	소화전	
	소환	
	소환장	
	속기사	
	속도	
	속보	
	속성	
	속성	
	속어	
	손괴죄	
	손금	
	손료	
	손망실	
	손모량	
	손모율	
	손상	
	손상감세	
	손수레	
	손실	
	손실보상	
	손실액	
	손익	
	손익계산서	
	손익분기점	
	손해	
	손해배상	
	손해배상조치	
	손해보험	
	손해보험업	
	손해보험회사	
	솔레노이드	
	솔루션	
	송금	
	송금수수료	
	송금자	
	송달	
	송무	
	송부	
	송수신	
	송신	
	송신소	
	송신자	
	송신장치	
	송유관	
	송유관관리자	
	송유관설치자	
	송장	
	송전	
	송전사업	
	송전사업자	
	송전선	
	송전선로	
	송출	
	송치	
	송품장	
	송풍	
	송풍기	
	송하인	
	송화자	
	송환	
	쇄신	
	쇠고기	
	쇼핑	
	쇼핑몰	
	수	
	수가	
	수감기관	
	수갑	
	수강	
	수거	
	수검	
	수계	
	수계관리위원회	
	수고	
	수관	
	수구	
	수권자	
	수금	
	수급	
	수급	
	수급권자	
	수급기업체	
	수급사업자	
	수급인	
	수급자	
	수기	
	수난	
	수난구호	
	수난구호협력기관	
	수납	
	수납기관	
	수납대비징수결정	
	수납대비현액	
	수납자	
	수단	
	수당	
	수도	
	수도	
	수도결제	
	수도공사	
	수도권	
	수도권매립지	
	수도권신공항	
	수도권정비계획	
	수도권지역	
	수도꼭지	
	수도시설관리권	
	수돗물불소농도조정사업	
	수동	
	수동	
	수락	
	수량	
	수련기관	
	수련의	
	수렴	
	수령	
	수령인	
	수로	
	수로정보	
	수로조사	
	수로조사업	
	수로조사표	
	수로측량	
	수록	
	수료	
	수료자	
	수료증	
	수리	
	수리	
	수리부속품	
	수리위탁	
	수리전분석	
	수리취소	
	수리후분석	
	수립	
	수면	
	수면관리자	
	수명	
	수명자	
	수목	
	수목원	
	수몰이주민	
	수문	
	수발	
	수방	
	수배	
	수배자	
	수법	
	수변구역	
	수불	
	수사	
	수사경력자료	
	수사경력조회	
	수사관	
	수사기관	
	수산	
	수산가공품	
	수산동식물	
	수산물	
	수산물가공업	
	수산물가공업자	
	수산물안전부	
	수산물품질관리법	
	수산생물	
	수산생물진료업	
	수산업	
	수산자원	
	수산자원조성	
	수산전통식품	
	수산질병관리사	
	수산특산물	
	수삼	
	수상	
	수상	
	수상	
	수상레저기구	
	수상레저활동	
	수색	
	수색영장	
	수서	
	수석	
	수선	
	수세식화장실	
	수소	
	수손	
	수송	
	수수료	
	수술	
	수습	
	수시	
	수시건강진단	
	수식	
	수신	
	수신기	
	수신설비	
	수신안테나	
	수신자	
	수신장치	
	수신증폭기	
	수신처	
	수신함	
	수심	
	수압	
	수압계	
	수액	
	수양버들	
	수업료	
	수여	
	수역	
	수연례	
	수영장	
	수요	
	수요관리	
	수요기관	
	수요물자	
	수요일	
	수용	
	수용	
	수용시설	
	수용자	
	수원	
	수원지	
	수위	
	수유	
	수은	
	수의	
	수의계약	
	수의사	
	수익	
	수익금	
	수익률	
	수익성	
	수익율	
	수익자	
	수익자	
	수익증권	
	수익채무자	
	수임기관	
	수입	
	수입	
	수입1과	
	수입2과	
	수입검사	
	수입국	
	수입금지품목	
	수입대체경비	
	수입대행업자	
	수입분할증명서	
	수입세	
	수입세금계산서	
	수입수량제한	
	수입승인	
	수입승인신청	
	수입신고	
	수입신고각하	
	수입신고생략	
	수입신고정정	
	수입신고필증	
	수입실적	
	수입업	
	수입외국간행물	
	수입요건구비	
	수입육상마스터적하목록	
	수입육상적하목록	
	수입육상하우스적하목록	
	수입인지	
	수입자	
	수입제한품목	
	수입증명서	
	수입추천	
	수입통관	
	수입통관시스템	
	수입통관전문직원	
	수입통관절차	
	수입품	
	수입항공마스터적하목록	
	수입항공적하목록	
	수입항공하우스적하목록	
	수입해상마스터적하목록	
	수입해상적하목록	
	수입해상하우스적하목록	
	수입화물대도	
	수입화물선취보증서	
	수작업	
	수정	
	수정신고	
	수정일	
	수정자	
	수정후	
	수종	
	수주	
	수준	
	수중	
	수증기영상	
	수지	
	수직	
	수질	
	수질오염물질	
	수질오염방지시설	
	수집	
	수집가	
	수처리제	
	수첩	
	수초	
	수출	
	수출계약서	
	수출국	
	수출금지품목	
	수출담당자	
	수출물품검사	
	수출승인면제	
	수출승인물품	
	수출승인서	
	수출신고	
	수출신고각하	
	수출신고오류	
	수출신고정정	
	수출신고취하	
	수출신용보험	
	수출실적	
	수출요건	
	수출용원자재	
	수출육상마스터적하목록	
	수출육상적하목록	
	수출육상하우스적하목록	
	수출입	
	수출입공고	
	수출입관련견품	
	수출입국	
	수출입금지품목	
	수출입별도공고	
	수출입신고	
	수출입신고오류	
	수출입의제	
	수출입제한품목	
	수출입통관국	
	수출입통관국장	
	수출입통관청사	
	수출자	
	수출자율규제	
	수출추천서	
	수출통관	
	수출통관과	
	수출통관시스템	
	수출품	
	수출항공마스터적하목록	
	수출항공적하목록	
	수출항공하우스적하목록	
	수출해상마스터적하목록	
	수출해상적하목록	
	수출해상하우스적하목록	
	수출허가서	
	수취	
	수취대	
	수취인	
	수치	
	수치제작물	
	수치지도	
	수치지도작성	
	수탁	
	수탁가공	
	수탁기관	
	수탁기업	
	수탁기업체	
	수탁자	
	수탁판매수입	
	수탁회사	
	수평	
	수표	
	수하물	
	수하인	
	수학	
	수해	
	수행	
	수행업무	
	수행원	
	수험	
	수험생	
	수혈	
	수형	
	수형인	
	수형인명부	
	수형자	
	수혜	
	수혜자	
	수화기	
	수화자	
	숙련	
	숙련도	
	숙박	
	숙박업	
	숙식	
	숙직	
	숙직수당	
	숙직자	
	순간	
	순계	
	순국선열	
	순도	
	순번	
	순서	
	순세계잉여금	
	순수	
	순시	
	순원가	
	순위	
	순이익	
	순자본	
	순자산	
	순중량	
	순증	
	순증가	
	순직	
	순차	
	순찰	
	순톤수	
	순화	
	순환	
	순환계	
	순환기	
	순회	
	순회감시직원	
	순회교육	
	술	
	술덧	
	숨김	
	숨은참조자	
	숫자	
	숲	
	슈퍼컴퓨터	
	스레드	
	스마트	
	스마트카드	
	스모그	
	스왑거래	
	스위치	
	스카우트활동	
	스캔	
	스케줄	
	스코어	
	스크랩	
	스크롤	
	스크린	
	스크립터	
	스크립트	
	스키마	
	스키장	
	스킨	
	스킵	
	스타	
	스타일	
	스택	
	스탬프	
	스토리	
	스토리지	
	스톡옵션	
	스튜디오	
	스트럭쳐	
	스트리밍	
	스트립	
	스티커	
	스팸	
	스펙트럼	
	스포츠	
	스폰서	
	스풀	
	스프레드	
	슬라이드	
	슬랙	
	슬러지	
	슬롯	
	슬립	
	습관	
	습도	
	습득	
	습득물	
	습득자	
	습성	
	습지	
	습지훼손	
	승강	
	승강기	
	승강기안전부품	
	승객	
	승계	
	승급	
	승낙	
	승리	
	승무원	
	승무원명부	
	승선	
	승선신고	
	승선자	
	승선평균임금	
	승선허가증	
	승역지	
	승용	
	승인	
	승인서	
	승인자	
	승인취소	
	승진	
	승차	
	시	
	시	
	시가	
	시가역산율	
	시가지	
	시각	
	시각	
	시간	
	시간대	
	시간외	
	시간외근무	
	시건	
	시계	
	시계열	
	시공	
	시공감리	
	시공자	
	시공참여자	
	시구	
	시군	
	시군구	
	시군지역	
	시금고	
	시급	
	시기	
	시나리오	
	시내	
	시내면세점	
	시내전화	
	시담	
	시도	
	시도	
	시도	
	시도교육청	
	시동	
	시디롬	
	시력	
	시료	
	시립	
	시뮬레이션	
	시민	
	시민고충처리위원회	
	시민사회	
	시민사회단체	
	시범	
	시베리아횡단철도	
	시분	
	시분초	
	시비	
	시산표	
	시상	
	시설	
	시설대여	
	시설대여업	
	시설대여업자	
	시설물	
	시설물정보관리종합시스템	
	시설변동	
	시설재	
	시설주관기관	
	시설한계	
	시설협정	
	시세	
	시소	
	시술소	
	시스템	
	시스템로그	
	시안	
	시영	
	시외	
	시위	
	시유지	
	시의성	
	시작	
	시작일	
	시장	
	시장도매인	
	시장점유율	
	시장접근물량	
	시장정비사업	
	시장지배적사업자	
	시점	
	시정	
	시정	
	시차	
	시책	
	시청	
	시청각	
	시추	
	시한	
	시합	
	시행	
	시행령	
	시험	
	시험	
	시험공장	
	시험법	
	시험실	
	시험자	
	시험장	
	시험장비	
	시험조사	
	시효	
	시효의중단	
	식	
	식각	
	식검	
	식권	
	식단	
	식당	
	식대	
	식량	
	식료품	
	식물	
	식물검역부	
	식물원	
	식별	
	식별자	
	식사	
	식생	
	식생활	
	식스시그마	
	식욕	
	식용란	
	식용유	
	식육	
	식육가공품	
	식음료판매업	
	식재	
	식중독	
	식품	
	식품위생	
	식품의약품안전청	
	식품첨가물	
	식피	
	신	
	신경	
	신고	
	신고각하	
	신고납부	
	신고납부체제	
	신고대상물품	
	신고서	
	신고수리	
	신고오류	
	신고인	
	신고자	
	신고지연가산세	
	신고취하	
	신고필증	
	신공항건설사업	
	신관	
	신구	
	신규	
	신규화학물질	
	신기술	
	신기술사업금융업	
	신기술사업자	
	신년	
	신디케이트	
	신뢰	
	신뢰성	
	신뢰성인증	
	신문	
	신문	
	신문사	
	신발	
	신변검사	
	신변검색실	
	신변용품	
	신변장식용품	
	신병	
	신분	
	신생	
	신생아	
	신서	
	신설	
	신설회사	
	신속	
	신약	
	신용	
	신용거래	
	신용공여	
	신용담보	
	신용보증	
	신용보험	
	신용장	
	신용장개설의뢰인	
	신용정보	
	신용정보업	
	신용정보업자	
	신용정보집중기관	
	신용조사업무	
	신용조회	
	신용조회업무	
	신용카드	
	신용카드가맹점	
	신용카드업	
	신용카드업자	
	신용카드회원	
	신용평가	
	신용평가업무	
	신원	
	신임	
	신입	
	신장	
	신조선	
	신종사채	
	신주	
	신주인수권	
	신주인수권부사채	
	신주인수권증서	
	신청	
	신청결과	
	신청서	
	신청서식	
	신청연월일	
	신청인	
	신청일	
	신청자	
	신체	
	신축	
	신탁	
	신탁업	
	신탁자	
	신항만	
	신항만건설사업	
	신형	
	신호	
	신호기	
	신호등	
	신호링크	
	신호소	
	신호표지	
	신호현시	
	실	
	실	
	실권주	
	실기	
	실내	
	실례	
	실린더	
	실명	
	실명	
	실명전환	
	실무	
	실무위원회	
	실물	
	실물	
	실비	
	실비상당액	
	실사	
	실속	
	실속형	
	실수	
	실수	
	실수요자	
	실습	
	실시	
	실시간	
	실신	
	실업	
	실업계	
	실업인정	
	실외	
	실용신안	
	실용신안권	
	실장	
	실적	
	실전	
	실정	
	실제	
	실제시장가격	
	실종	
	실종선고	
	실종자	
	실지	
	실지명의	
	실지심사	
	실질적피해	
	실체	
	실측	
	실태	
	실패	
	실폭도로	
	실행	
	실행관세율	
	실행자	
	실험	
	실험실공장	
	실현	
	실화	
	실효	
	심각	
	심결	
	심도	
	심리	
	심리전	
	심문	
	심벌	
	심볼	
	심사	
	심사관실	
	심사국	
	심사대상업체	
	심사반	
	심사본청담당자	
	심사위원	
	심사위원회	
	심사자	
	심사정보관리운영담당자	
	심사정보분석	
	심사주무	
	심사청구	
	심사총괄과	
	심사총괄과장	
	심사행정	
	심성	
	심신	
	심야	
	심야할인	
	심의	
	심의회	
	심장	
	심전도	
	심층	
	심판	
	심판청구	
	심폐소생술	
	심해저	
	심혈관	
	십	
	싸움소	
	싸움소주인	
	쌀	
	쌍무	
	쌍무계약	
	쌍무적	
	쌍무협정관세	
	쌍발	
	쌍방대리	
	쌍방향	
	썰매장	
	썸네일	
	쓰레기	
	쓰레드	
	아교	
	아날로그	
	아동	
	아래쪽	
	아름다운관세행정파트너	
	아버지	
	아세안	
	아스콘	
	아시아	
	아연	
	아웃	
	아웃바운드	
	아웃소싱	
	아이디	
	아이디어	
	아이콘	
	아이템	
	아이피	
	아침	
	아카시아	
	아카이브	
	아키텍처	
	아타카르네	
	아티스트	
	아파트	
	아파트형공장	
	아편	
	아프리카	
	아흉고	
	악기	
	악단	
	악성코드	
	악성프로그램	
	악취	
	악취배출시설	
	안감	
	안개	
	안개영상	
	안건	
	안경	
	안과	
	안내	
	안내문	
	안내방송	
	안내소	
	안내판	
	안료	
	안보	
	안보감시	
	안분	
	안심	
	안심자	
	안이비인후과	
	안장	
	안전	
	안전관리	
	안전띠	
	안전보건진단	
	안전설비	
	안전용기포장	
	안전인증	
	안전인증대상전기용품	
	안전재고	
	안전점검	
	안전지대	
	안전표지	
	안정	
	안정화	
	안치	
	안테나	
	알가공품	
	알고리즘	
	알레르기	
	알루미늄	
	알림	
	알선	
	알코올	
	알콜	
	암	
	암거	
	암모니아	
	암석	
	암센터	
	암시	
	암호	
	암호자재	
	암호화	
	압력	
	압력용기	
	압류	
	압류금지	
	압류자	
	압류채권자	
	압박	
	압수	
	압수물	
	압수영장	
	압수표	
	압수품	
	압제번호	
	압축	
	압축가스	
	압출	
	앞	
	앞뒤	
	애견	
	애국	
	애국지사	
	애니메이션	
	애로	
	애프터서비스	
	애플리케이션	
	액	
	액면	
	액면주식	
	액상	
	액세서리	
	액세스	
	액체	
	액체물질	
	액체폭약	
	액화가스	
	액화석유가스	
	액화석유가스저장자	
	액화석유가스집단공급사업자	
	액화석유가스충전사업자	
	액화석유가스판매사업자	
	앨범	
	앱	
	야간	
	야구장	
	야근	
	야드트랙터	
	야바	
	야생	
	야생동식물	
	야생화	
	야영	
	야영장	
	야외	
	야유회장	
	야적	
	야적장	
	약관	
	약국	
	약도	
	약동학	
	약력학	
	약리	
	약무	
	약물	
	약물상호작용	
	약물유전체	
	약사	
	약속	
	약속어음	
	약식	
	약식명령	
	약식선하증권	
	약어	
	약용식물	
	약용작물	
	약자	
	약재	
	약정	
	약정이자	
	약제	
	약칭	
	약품	
	약해	
	약호	
	약효	
	양	
	양곡	
	양곡매매업자	
	양곡증권	
	양귀비	
	양도	
	양도담보	
	양도담보재산	
	양도배서	
	양도소득세	
	양도인	
	양력	
	양로	
	양륙	
	양륙지	
	양륙항	
	양방향	
	양벌규정	
	양봉	
	양산	
	양성	
	양수	
	양수	
	양수기	
	양수인	
	양수자	
	양식	
	양식	
	양식화	
	양어장	
	양여금	
	양육	
	양육항선택할증료	
	양자	
	양자간누적	
	양초	
	양친자	
	양하	
	양해	
	양해각서	
	양허관세율	
	양허세율	
	양호	
	어가	
	어골도	
	어깨	
	어댑터	
	어도	
	어둠	
	어디서	
	어떻게	
	어로	
	어류	
	어린이	
	어린이보호포장	
	어린이주간	
	어린이통학버스	
	어문규범	
	어선	
	어선소유자	
	어선원	
	어선재해	
	어셈블리	
	어업	
	어업권	
	어업생산통계조사	
	어업용시설	
	어업인	
	어업자	
	어업재해	
	어업종사자	
	어업지도선	
	어업활동	
	어음	
	어음관리계좌	
	어음교환	
	어음대부	
	어음등본	
	어음시효	
	어장	
	어장정화정비	
	어장정화정비업	
	어장휴식	
	어종	
	어촌	
	어촌종합개발사업	
	어플리케이션	
	어플리케이션아키텍처	
	어학	
	어항	
	어항개발사업	
	어항구역	
	어항시설	
	어항운영전산망	
	어획	
	어획물운반업	
	어획물운반업자	
	어획물운반업종사자	
	어휘	
	억류	
	억압반송파	
	억제	
	억지	
	언급	
	언덕	
	언동	
	언론	
	언론기관	
	언론매체	
	언론보도	
	언론분쟁	
	언론사	
	언론사대표자	
	언어	
	언제	
	얼굴	
	얼룩	
	엄밀	
	업계	
	업그레이드	
	업로드	
	업로드자	
	업링크	
	업무	
	업무규칙	
	업무별	
	업무상재해	
	업무아키텍처	
	업무재설계	
	업무편람	
	업무표장	
	업소	
	업자	
	업적	
	업종	
	업체	
	업태	
	에그몽그룹	
	에너지	
	에너지공급설비	
	에너지공급자	
	에너지사용기자재	
	에너지사용시설	
	에너지사용자	
	에누리	
	에디터	
	에러	
	에스컬레이터	
	에어로빅장	
	에어백	
	에어컨	
	에이즈	
	에틸벤젠	
	엑셀	
	엑스	
	엑스좌표	
	엑츄에이터	
	엔드밀	
	엔지니어링	
	엔지니어링기술	
	엔지니어링사업	
	엔지니어링활동	
	엔진	
	엔터티	
	엔티티	
	엘니뇨	
	엘리베이터	
	여가	
	여객	
	여객명부	
	여객선	
	여객시설	
	여객자동차운송사업	
	여객자동차운수사업	
	여객자동차터미널	
	여객자동차터미널사업	
	여건	
	여과기	
	여권	
	여권번호	
	여당	
	여론	
	여론조사	
	여름	
	여백	
	여벌받기	
	여부	
	여분	
	여비	
	여성	
	여성경제인	
	여성과학기술인	
	여성관련시설	
	여성기업	
	여성농어업인	
	여성농어업인관련시설	
	여성농어업인단체	
	여성농업인	
	여성단체	
	여성부	
	여성어업인	
	여성정책	
	여신	
	여신금융기관	
	여신전문금융업	
	여신전문금융회사	
	여유	
	여인숙	
	여자	
	여학생	
	여행	
	여행자	
	여행자정보분석과	
	여행자정보사전확인제도	
	여행자휴대품신고서	
	여호주	
	역	
	역경매	
	역공학	
	역내	
	역내물품	
	역내양도	
	역량	
	역무	
	역방향	
	역배선	
	역배열	
	역사	
	역산가격	
	역외	
	역외가공	
	역자	
	역전	
	역점	
	역종	
	역학	
	역학조사	
	역할	
	연간	
	연감	
	연결	
	연결자동차	
	연경	
	연계	
	연계무역	
	연고	
	연고자	
	연고지	
	연관	
	연구	
	연구교수	
	연구기관	
	연구비	
	연구소	
	연구소기업	
	연구실	
	연구원	
	연구활동종사자	
	연구회	
	연구휴가	
	연극	
	연금	
	연기	
	연납	
	연대	
	연대보증	
	연대채무	
	연도	
	연동	
	연동장치	
	연락	
	연락자	
	연락처	
	연령	
	연령대	
	연료	
	연료비할증	
	연료유	
	연료전지자동차	
	연립주택	
	연마	
	연막	
	연막소독	
	연말	
	연면적	
	연못	
	연방	
	연번	
	연보	
	연봉	
	연부	
	연불	
	연불수출	
	연불판매	
	연비	
	연산	
	연산식	
	연산자	
	연산품	
	연생보험	
	연석	
	연설	
	연설문	
	연소	
	연소근로자	
	연소성	
	연소자	
	연속	
	연수	
	연수생	
	연수원	
	연습	
	연식	
	연안	
	연안수역	
	연안습지	
	연안정비사업	
	연안해역	
	연예	
	연월	
	연유	
	연임	
	연장	
	연장	
	연장전	
	연장후	
	연주	
	연중	
	연차	
	연찬	
	연체	
	연체료	
	연체이자	
	연출	
	연탄	
	연탄제조업	
	연평균	
	연한	
	연합	
	연합국	
	연혁	
	연회비	
	열	
	열람	
	열람석	
	열람자	
	열랑	
	열사용기자재	
	열생산자	
	열쇠	
	열수	
	열차	
	염	
	염색	
	염소	
	염전	
	염제조업자	
	염화칼슘	
	엽궐련	
	영	
	영공	
	영구	
	영구처분	
	영남	
	영농	
	영농규모	
	영리	
	영리보험	
	영림계획	
	영림기술자	
	영문	
	영사	
	영사관	
	영사기	
	영사송장	
	영상	
	영상디스크	
	영상물	
	영상산업	
	영선	
	영세	
	영세민	
	영세수출자	
	영세율	
	영수	
	영수인	
	영수증	
	영수필통지	
	영시	
	영아	
	영안실	
	영양	
	영양개선	
	영양사	
	영양진단	
	영어	
	영업	
	영업면허	
	영업비밀	
	영업비밀침해행위	
	영업소	
	영업양도	
	영업장	
	영역	
	영예	
	영위	
	영유아	
	영장	
	영장류	
	영재	
	영재교육	
	영재교육기관	
	영재교육연구원	
	영재학교	
	영재학급	
	영전	
	영점	
	영접	
	영조물	
	영주	
	영주권	
	영치	
	영치금	
	영치금품	
	영치품	
	영토	
	영해	
	영향	
	영향평가	
	영현	
	영화	
	예가	
	예결	
	예고	
	예고등기	
	예규	
	예규임시저장	
	예금	
	예금자	
	예금주	
	예금증서	
	예금채권	
	예금통장	
	예납	
	예능	
	예매	
	예방	
	예방접종	
	예보	
	예보관	
	예보사업자	
	예보자료	
	예비	
	예비군	
	예비군육성	
	예비군지원	
	예비등기	
	예비비	
	예비지급인	
	예산	
	예산서	
	예산성립후	
	예산이용	
	예상	
	예상운전과도	
	예선	
	예선계약	
	예속	
	예수	
	예술	
	예시	
	예식	
	예약	
	예약일	
	예약자	
	예외	
	예우	
	예입	
	예전	
	예절	
	예정	
	예정가격	
	예정보험	
	예정일	
	예정자	
	예정지	
	예정지역	
	예정회담	
	예지	
	예찰	
	예측	
	예치	
	예치금	
	예치증	
	예치품접수	
	예탁	
	예탁금	
	예탁원	
	예행	
	옛	
	오	
	오남용	
	오납	
	오너	
	오답	
	오답자	
	오더	
	오디오	
	오락	
	오류	
	오류신고게시판	
	오르막	
	오른쪽	
	오리엔테이션	
	오리엔트	
	오명	
	오물	
	오버	
	오버플로우	
	오보	
	오브젝트	
	오산공항	
	오송화물	
	오수	
	오수처리시설	
	오염	
	오염도	
	오염물질	
	오염부하량	
	오염세탁물	
	오염원	
	오용	
	오인	
	오전	
	오존	
	오존층	
	오지	
	오차	
	오토바이	
	오퍼	
	오퍼레이션	
	오퍼수락	
	오프라인	
	오프셋	
	오픈톱컨테이너	
	오피스텔	
	오후	
	옥내	
	옥상	
	옥외	
	옥외광고물	
	옥외광고업	
	옥외집회	
	온도	
	온도계	
	온라인	
	온라인디지털콘텐츠	
	온라인디지털콘텐츠사업자	
	온라인디지털콘텐츠산업	
	온라인디지털콘텐츠제작	
