필드명	행정표준용어	매칭결과
"마을기업대표자명
"	가맹중개인	#N/A
"마을기업대표전화번호
"	가맹지역본부	#N/A
"마을기업홈페이지
"	가맹희망자	#N/A
"마을기업회원수
"	가명	#N/A
"마을기업목적사업
"	가뭄	#N/A
"마을기업주요상품
"	가반식	#N/A
"상품관련인증정보
"	가발	#N/A
"관리기관전화번호
"	가방	#N/A
"관리기관명
"	가변	#N/A
"데이터기준일자
"	가변차로	#N/A
"자전거보관소명
"	가보존	#N/A
"소재지도로명주소
"	가부	#N/A
"소재지지번주소
"	가분급부	#N/A
"위도
"	가사	#N/A
"경도
"	가사	#N/A
"보관대수
"	가사노동	#N/A
"설치년도
"	가사소송	#N/A
"설치형태
"	가산	#N/A
"차양막설치여부
"	가산금	#N/A
"공기주입기비치여부
"	가산금리	#N/A
"공기주입기유형
"	가산금액	#N/A
"수리대설치여부
"	가산세	#N/A
"관리기관전화번호
"	가산세금	#N/A
"관리기관명
"	가산수수료	#N/A
"데이터기준일자
"	가상	#N/A
"약수터명
"	가석방	#N/A
"소재지도로명주소
"	가설	#N/A
"소재지지번주소
"	가설인명	#N/A
"위도
"	가설자	#N/A
"경도
"	가설재	#N/A
"지정일자
"	가소성	#N/A
"일평균이용인구수
"	가속	#N/A
"수질검사일자
"	가속도	#N/A
"수질검사결과구분
"	가수	#N/A
"부적합항목
"	가스	#N/A
"관리기관전화번호
"	가스공급시설	#N/A
"관리기관명
"	가스도매사업	#N/A
"데이터기준일자
"	가스사용시설	#N/A
"길명
"	가스상물질류	#N/A
"길소개
"	가스설비	#N/A
"총길이
"	가스용품제조사업자	#N/A
"총소요시간
"	가스전	#N/A
"시작지점명
"	가스플랜트	#N/A
"시작지점도로명주소
"	가슴	#N/A
"시작지점소재지지번주소
"	가시광선	#N/A
"종료지점명
"	가시선	#N/A
"종료지점소재지도로명주소
"	가시채널	#N/A
"종료지점소재지지번주소
"	가압	#N/A
"경로정보
"	가압류	#N/A
"관리기관전화번호
"	가액	#N/A
"관리기관명
"	가연성	#N/A
"데이터기준일자
"	가연성가스	#N/A
"거리명
"	가연성가스저온저장탱크	#N/A
"거리소개
"	가열	#N/A
"소재지도로명
"	가열응착	#N/A
"소재지지번주소
"	가열탈착	#N/A
"위도
"	가옥	#N/A
"경도
"	가용	#N/A
"총길이
"	가을	#N/A
"점포수
"	가입	#N/A
"지정년도
"	가입금	#N/A
"관리기관전화번호
"	가입비	#N/A
"관리기관명
"	가입수수료	#N/A
"데이터기준일자
"	가입신청	#N/A
"시도명
"	가입유형	#N/A
"시군구명
"	가입일	#N/A
"관리기관명
"	가입일자	#N/A
"지정번호
"	가입자	#N/A
"보호수지정일자
"	가입자내부식별자	#N/A
"보호수유형명
"	가입자선로	#N/A
"과명
"	가입제한	#N/A
"학명
"	가입해지	#N/A
"나무종류
"	가전	#N/A
"그루수
"	가전제품	#N/A
"나무나이
"	가점	#N/A
"나무높이
"	가접수	#N/A
"가슴높이둘레
"	가정	#N/A
"나무갓지름
"	가정	#N/A
"품격명
"	가정구성원	#N/A
"지목명
"	가정보호사건	#N/A
"지적
"	가정의례	#N/A
"소유자구분
"	가정폭력	#N/A
"소재지도로명주소
"	가정폭력범죄	#N/A
"소재지지번주소
"	가정폭력행위자	#N/A
"위도
"	가족	#N/A
"경도
"	가족계획사업	#N/A
"데이터기준일자
"	가족법	#N/A
"사업장명
"	가족어선원	#N/A
"시도명
"	가족제도	#N/A
"시군구명
"	가종료	#N/A
"사업장업종명
"	가중	#N/A
"세차유형
"	가중처벌	#N/A
"소재지도로명주소
"	가중치	#N/A
"휴무일
"	가중평균	#N/A
"평일운영시작시각
"	가집행	#N/A
"평일운영종료시각
"	가집행선고	#N/A
"휴일운영시작시각
"	가처분	#N/A
"휴일운영종료시각
"	가축	#N/A
"세차요금정보
"	가축분뇨	#N/A
"대표자명
"	가축전염병	#N/A
"세차장전화번호
"	가축통계조사	#N/A
"수질허가번호
"	가출	#N/A
"위도
"	가출소	#N/A
"경도
"	가출인	#N/A
"데이터기준일자
"	가치	#N/A
"금연구역명
"	가치관	#N/A
"금연구역범위상세
"	가치혁신	#N/A
"시도명
"	가택수색	#N/A
"시군구명
"	가트	#N/A
"금연구역구분
"	가해	#N/A
"금연구역지정근거명
"	가해자	#N/A
"금연구역면적
"	가해학생	#N/A
"위반과태료
"	가행광산	#N/A
"위반신고연락처
"	가혹행위	#N/A
"소재지도로명주소
"	가환부	#N/A
"소재지지번주소
"	각급	#N/A
"관리기관명
"	각급기관	#N/A
"위도
"	각급학교	#N/A
"경도
"	각도	#N/A
"데이터기준일자
"	각령	#N/A
"쉼터명
"	각료	#N/A
"법정동명
"	각목	#N/A
"쉼터유형구분
"	각종	#N/A
"운영시작일자
"	각주	#N/A
"운영종료일자
"	각하	#N/A
"시설면적
"	각형	#N/A
"이용가능인원수
"	각호	#N/A
"선풍기보유대수
"	간	#N/A
"에어컨보유대수
"	간격	#N/A
"야간연장운영여부
"	간담회	#N/A
"주말운영여부
"	간부	#N/A
"숙박가능여부
"	간사	#N/A
"특이사항
"	간석지	#N/A
"소재지도로명주소
"	간선	#N/A
"소재지지번주소
"	간선급행버스체계	#N/A
"관리기관명
"	간소화	#N/A
"관리기관전화번호
"	간염	#N/A
"위도
"	간음	#N/A
"경도
"	간이	#N/A
"데이터기준일자
"	간이공판절차	#N/A
"재해위험지구관리번호
"	간이법원	#N/A
"재해위험지구명
"	간이상수도	#N/A
"재해위험지역
"	간이인도	#N/A
"재해위험지역상세주소
"	간장	#N/A
"재해위험유형
"	간접	#N/A
"재해위험등급
"	간접교사	#N/A
"시설명
"	간접비	#N/A
"시설물유형
"	간접세	#N/A
"수계명
"	간접책임	#N/A
"지정일자
"	간주	#N/A
"해제일자
"	간질	#N/A
"정보수정일자
"	간척	#N/A
"지정사유
"	간척지	#N/A
"해제사유
"	간첩	#N/A
"추진사항
"	간통죄	#N/A
"위험요인
"	간판	#N/A
"지정면적
"	간행	#N/A
"관리기관명
"	간행물	#N/A
"관리기관전화번호
"	간호	#N/A
"데이터기준일자
"	간호사	#N/A
"관광안내소명
"	간호사무관	#N/A
"안내소위치명
"	간호조무사	#N/A
"시도명
"	갈등	#N/A
"시군구명
"	갈수	#N/A
"안내소소개
"	갈음	#N/A
"부가서비스정보
"	감가	#N/A
"휴무일
"	감가비	#N/A
"운영시작시각(하절기)
"	감가상각	#N/A
"운영종료시각(하절기)
"	감가수정	#N/A
"운영시작시각(동절기)
"	감각	#N/A
"운영종료시각(동절기)
"	감귤	#N/A
"평균근무인원수
"	감나무	#N/A
"영어안내가능여부
"	감독	#N/A
"일본어안내가능여부
"	감독자	#N/A
"중국어안내가능여부
"	감동	#N/A
"안내가능외국어
"	감량	#N/A
"안내소전화번호
"	감량화	#N/A
"소재지도로명주소
"	감리	#N/A
"소재지지번주소
"	감리관리	#N/A
"운영기관명
"	감리원	#N/A
"홈페이지주소
"	감리자	#N/A
"위도
"	감리제도	#N/A
"경도
"	감면	#N/A
"데이터기준일자
"	감배	#N/A
"휴양림명
"	감봉	#N/A
"시도명
"	감사	#N/A
"휴양림구분
"	감사관	#N/A
"휴양림면적
"	감사기관	#N/A
"수용인원수
"	감사원	#N/A
"입장료
"	감사인	#N/A
"숙박가능여부
"	감사자	#N/A
"주요시설명
"	감사책임자	#N/A
"소재지도로명주소
"	감산	#N/A
"관리기관명
"	감소	#N/A
"휴양림전화번호
"	감소수량	#N/A
"홈페이지주소
"	감소액	#N/A
"위도
"	감속	#N/A
"경도
"	감손	#N/A
"데이터기준일자
"	감쇄	#N/A
"축제명
"	감수	#N/A
"개최장소
"	감시	#N/A
"축제시작일자
"	감시권	#N/A
"축제종료일자
"	감시용	#N/A
"축제내용
"	감시원	#N/A
"주관기관
"	감식	#N/A
"주최기관
"	감압	#N/A
"후원기관
"	감압설비	#N/A
"연락처
"	감액	#N/A
"홈페이지주소
"	감염	#N/A
"관련정보
"	감염병	#N/A
"소재지도로명주소
"	감염성	#N/A
"소재지지번주소
"	감염성폐기물	#N/A
"경도(WGS84좌표)
"	감염증	#N/A
"위도(WGS84좌표)
"	감원	#N/A
"데이터기준일자
"	감자	#N/A
"전화번호
"	감자차액	#N/A
"위도
"	감점	#N/A
"경도
"	감정	#N/A
"업소명
"	감정가	#N/A
"업종명
"	감정가격	#N/A
"소재지도로명주소
"	감정사	#N/A
"연락처
"	감정원	#N/A
"객실수
"	감정인	#N/A
"부대시설
"	감정증인	#N/A
"주차장보유여부
"	감정평가	#N/A
"결제방법
"	감정평가사	#N/A
"홈페이지주소
"	감정평가업	#N/A
"주변관광정보
"	감정평가업자	#N/A
"소재지지번주소
"	감정허가장	#N/A
"경도
"	감지	#N/A
"위도
"	감지기	#N/A
"데이터기준일자
"	감차	#N/A
"경도(WGS84좌표)
"	감찰	#N/A
"위도(WGS84좌표)
"	감찰관	#N/A
"충전소명
"	감청	#N/A
"충전소위치상세
"	감청설비	#N/A
"설치시도명
"	감축	#N/A
"휴점일
"	감항능력	#N/A
"이용가능시작시각
"	감항성	#N/A
"이용가능종료시각
"	감항증명	#N/A
"완속충전가능여부
"	감형	#N/A
"급속충전가능여부
"	감호	#N/A
"급속충전타입구분
"	갑근세	#N/A
"완속충전기대수
"	갑문	#N/A
"급속충전기대수
"	갑종근로소득세	#N/A
"주차료부과여부
"	갑종사태	#N/A
"소재지도로명주소
"	갑판상부적재	#N/A
"소재지지번주소
"	갑판하부적재	#N/A
"관리업체명
"	값	#N/A
"관리업체전화번호
"	값영역	#N/A
"위도
"	갓길	#N/A
"경도
"	강간	#N/A
"데이터기준일자
"	강구	#N/A
"행사명
"	강도	#N/A
"장소
"	강도	#N/A
"행사내용
"	강력범죄	#N/A
"행사시작일자
"	강령	#N/A
"행사종료일자
"	강매	#N/A
"행사시간
"	강사	#N/A
"요금정보
"	강서	#N/A
"주관기관
"	강수	#N/A
"주최기관
"	강습	#N/A
"전화번호
"	강연	#N/A
"후원기관
"	강요	#N/A
"객석수
"	강우	#N/A
"관람요금
"	강우계	#N/A
"입장연령
"	강우유출수	#N/A
"할인정보
"	강원	#N/A
"유의사항
"	강원도	#N/A
"홈페이지주소
"	강원도강릉시	#N/A
"예매정보
"	강원도고성군	#N/A
"주차장보유여부
"	강원도동해시	#N/A
"소재지도로명주소
"	강원도삼척시	#N/A
"소재지지번주소
"	강원도속초시	#N/A
"위도
"	강원도양구군	#N/A
"경도
"	강원도양양군	#N/A
"데이터기준일자
"	강원도영월군	#N/A
"연락처
"	강원도원주시	#N/A
"경도(WGS84좌표)
"	강원도인제군	#N/A
"위도(WGS84좌표)
"	강원도정선군	#N/A
"설치장소명
"	강원도철원군	#N/A
"설치장소상세
"	강원도춘천시	#N/A
"설치시도명
"	강원도태백시	#N/A
"설치시군구명
"	강원도평창군	#N/A
"설치시설구분
"	강원도홍천군	#N/A
"서비스제공사명
"	강원도화천군	#N/A
"와이파이SSID
"	강원도횡성군	#N/A
"설치년월
"	강의	#N/A
"소재지도로명주소
"	강의실	#N/A
"소재지지번주소
"	강임	#N/A
"관리기관명
"	강전류전선	#N/A
"관리기관전화번호
"	강제	#N/A
"위도
"	강제경매	#N/A
"경도
"	강제보험	#N/A
"데이터기준일자
"	강제징수	#N/A
"시설명
"	강제처분	#N/A
"소재지도로명주소
"	강제투표	#N/A
"운영기관명
"	강행법	#N/A
"연락처
"	강화	#N/A
"급식장소
"	개간	#N/A
"급식대상
"	개관	#N/A
"급식시간
"	개념	#N/A
"급식일
"	개도국	#N/A
"운영시작일자
"	개략	#N/A
"운영종료일자
"	개량	#N/A
"소재지지번주소
"	개명	#N/A
"경도
"	개문	#N/A
"위도
"	개발	#N/A
"데이터기준일자
"	개발도상국	#N/A
"경도(WGS84좌표)
"	개발도상국가	#N/A
"위도(WGS84좌표)
"	개발밀도관리구역	#N/A
"체험마을명
"	개발부담금	#N/A
"시도명
"	개발사업	#N/A
"시군구명
"	개발이익	#N/A
"체험프로그램구분
"	개발자	#N/A
"체험내용
"	개방	#N/A
"보유시설정보
"	개방형	#N/A
"체험마을면적
"	개방형직위	#N/A
"체험마을사진
"	개방화장실	#N/A
"소재지도로명주소
"	개별	#N/A
"대표자성명
"	개별가구소득평가액	#N/A
"대표전화번호
"	개별공시지가	#N/A
"지정일자
"	개별납부서	#N/A
"홈페이지주소
"	개별법	#N/A
"관리기관명
"	개별연구개발사업	#N/A
"위도
"	개보수	#N/A
"경도
"	개산가격	#N/A
"데이터기준일자
"	개산원가	#N/A
"강좌명
"	개서	#N/A
"강사명
"	개선	#N/A
"교육시작일자
"	개설	#N/A
"교육종료일자
"	개설의뢰인	#N/A
"교육시작시각
"	개설일	#N/A
"교육종료시각
"	개설자	#N/A
"강좌내용
"	개성공단	#N/A
"교육대상구분
"	개수	#N/A
"교육방법구분
"	개수	#N/A
"운영요일
"	개시	#N/A
"교육장소
"	개시전	#N/A
"강좌정원수
"	개업	#N/A
"수강료
"	개연성	#N/A
"교육장도로명주소
"	개요	#N/A
"운영기관명
"	개월	#N/A
"운영기관전화번호
"	개인	#N/A
"접수시작일자
"	개인과외교습자	#N/A
"접수종료일자
"	개인발명가	#N/A
"접수방법구분
"	개인부담금	#N/A
"선정방법구분
"	개인식별번호	#N/A
"홈페이지주소
"	개인용컴퓨터	#N/A
"직업능력개발훈련비지원강좌여부
"	개인위치정보	#N/A
"학점은행제평가(학점)인정여부
"	개인위치정보주체	#N/A
"평생학습계좌제평가인정여부
"	개인정보	#N/A
"데이터기준일자
"	개인정보화일	#N/A
"교육대상
"	개인퇴직계좌	#N/A
"교육시작시간
"	개인화기	#N/A
"교육종료시간
"	개임	#N/A
"정수장명
"	개입	#N/A
"관리기관명
"	개입권	#N/A
"관리기관전화번호
"	개입의무	#N/A
"소재지도로명주소
"	개작	#N/A
"채수일자
"	개장	#N/A
"검사기관명
"	개장	#N/A
"최종판정결과
"	개전	#N/A
"일반세균
"	개정	#N/A
"총대장균군
"	개정안	#N/A
"대장균
"	개조	#N/A
"분원성대장균군
"	개찰	#N/A
"납
"	개척	#N/A
"불소
"	개천	#N/A
"비소
"	개청	#N/A
"셀레늄
"	개청시간	#N/A
"수은
"	개체	#N/A
"시안
"	개체군	#N/A
"크롬
"	개최	#N/A
"암모니아성질소
"	개최국가	#N/A
"질산성질소
"	개최시설	#N/A
"카드뮴
"	개최시설상세정보	#N/A
"보론
"	개최지역	#N/A
"페놀
"	개최회담	#N/A
"다이아지논
"	개축	#N/A
"파라티온
"	개칭	#N/A
"페니트로티온
"	개통	#N/A
